,breadcrumb,id,itemType,ldap,menuGroupId,menuId,menuItemId
2014-11-06 17:21:16,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2271358,abi_report,mikemmurphy,1557,32,7102
2014-11-06 17:21:26,BPC - The Owl > Deal Insights > Metrics by Deal Stage > [New] Deal Review Reporting,2271362,duplos,mikemmurphy,1557,32,7675
2014-11-06 17:30:03,BPC - The Owl > Home,2271544,editable_area,ralmeida,225,32,0
2014-11-06 17:30:16,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2271550,abi_report,ralmeida,1557,32,7102
2014-11-06 17:35:09,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,2271644,dasnav_report,ralmeida,1558,32,7270
2014-11-06 18:21:14,BPC - The Owl > Home,2272243,editable_area,ceccarelli,225,32,0
2014-11-06 18:33:18,BPC - The Owl > Home,2272365,editable_area,sarahchurch,225,32,0
2014-11-06 18:35:00,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,2272382,dasnav_report,sarahchurch,1558,32,7270
2014-11-06 18:35:12,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2272385,abi_report,sarahchurch,1557,32,7102
2014-11-06 18:35:18,BPC - The Owl > Deal Insights > Metrics By Deal Approver  >  TAT Summary  ,2272386,abi_report,sarahchurch,1557,32,7108
2014-11-06 18:40:00,BPC - The Owl > Home,2272434,editable_area,ceccarelli,225,32,0
2014-11-06 18:40:04,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2272436,abi_report,ceccarelli,1557,32,7102
2014-11-06 18:58:52,BPC - The Owl > Home,2272610,editable_area,ceccarelli,225,32,0
2014-11-06 18:59:02,BPC - The Owl > Documentation > Deal Data Convergence BRD,2272611,dasnav_report,ceccarelli,809,32,3510
2014-11-06 18:59:05,BPC - The Owl > Documentation > Deal Data Convergence BRD,2272612,dasnav_report,ceccarelli,809,32,3510
2014-11-06 19:05:44,BPC - The Owl > Home,2272702,editable_area,ceccarelli,225,32,0
2014-11-06 19:08:41,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2272740,abi_report,ceccarelli,1557,32,7102
2014-11-06 19:08:48,BPC - The Owl > Deal Insights > Metrics by Deal Stage > Geography - Unified Detail,2272741,abi_report,ceccarelli,1557,32,7111
2014-11-06 19:09:26,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,2272750,dasnav_report,ceccarelli,1558,32,7270
2014-11-06 19:10:33,BPC - The Owl > Home,2272758,editable_area,mikemmurphy,225,32,0
2014-11-06 19:10:40,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2272760,abi_report,mikemmurphy,1557,32,7102
2014-11-06 19:10:46,BPC - The Owl > Deal Insights > Metrics by Deal Stage > [New] Deal Review Reporting,2272761,duplos,mikemmurphy,1557,32,7675
2014-11-06 19:18:01,BPC - The Owl > Documentation > Deal Data Convergence BRD,2272807,dasnav_report,tombdavidson,809,32,3510
2014-11-06 19:24:02,BPC - The Owl > RMC Internal Insights > Deploy RMC Resources > Controls Heatmap,2272842,dasnav_report,sarahchurch,1558,32,7270
2014-11-06 19:24:07,BPC - The Owl > RMC Internal Insights > Users & Training > [NEW] Simba Users,2272844,duplos,sarahchurch,1558,32,7868
2014-11-06 20:33:04,BPC - The Owl > Deal Insights > Metrics By Deal Activity > Geography Summary,2273366,abi_report,sarahchurch,1557,32,7102
2014-11-06 20:33:13,BPC - The Owl > Deal Insights > Metrics By Deal Approver  >  TAT Summary  ,2273367,abi_report,sarahchurch,1557,32,7108
